rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
68.0,Jordan,JOR,1374.13,1350.21,-3,AFC,2024-06-20
69.0,United Arab Emirates,UAE,1368.84,1366.45,2,AFC,2024-06-20
70.0,Iceland,ISL,1353.48,1346.82,-2,UEFA,2024-06-20
71.0,North Macedonia,MKD,1348.63,1354.19,2,UEFA,2024-06-20
74.0,Georgia,GEO,1338.91,1333.76,-1,UEFA,2024-06-20
73.0,Northern Ireland,NIR,1341.33,1341.05,0,UEFA,2024-06-20
75.0,Bosnia and Herzegovina,BIH,1332.3,1335.6,1,UEFA,2024-06-20
67.0,Burkina Faso,BFA,1375.16,1390.38,5,CAF,2024-06-20
76.0,Oman,OMA,1326.18,1323.23,-1,AFC,2024-06-20
72.0,Montenegro,MNE,1345.02,1351.72,2,UEFA,2024-06-20
66.0,Albania,ALB,1379.4,1375.1,0,UEFA,2024-06-20
58.0,Paraguay,PAR,1427.11,1430.73,2,CONMEBOL,2024-06-20
64.0,Ghana,GHA,1381.25,1358.77,-4,CAF,2024-06-20
63.0,Finland,FIN,1393.4,1394.44,2,UEFA,2024-06-20
62.0,Uzbekistan,UZB,1397.41,1386.58,-2,AFC,2024-06-20
61.0,Congo DR,COD,1400.93,1388.25,-2,CAF,2024-06-20
60.0,Republic of Ireland,IRL,1403.84,1399.74,0,UEFA,2024-06-20
55.0,Iraq,IRQ,1433.07,1420.47,-3,AFC,2024-06-20
59.0,South Africa,RSA,1416.66,1407.67,0,CAF,2024-06-20
56.0,Saudi Arabia,KSA,1431.3,1443.53,3,AFC,2024-06-20
57.0,Slovenia,SVN,1429.74,1427.84,0,UEFA,2024-06-20
77.0,Guinea,GUI,1324.8,1324.65,1,CAF,2024-06-20
65.0,Cabo Verde,CPV,1380.53,1383.44,0,CAF,2024-06-20
78.0,Honduras,HON,1313.05,1301.92,-4,CONCACAF,2024-06-20
100.0,Thailand,THA,1218.56,1208.93,-1,AFC,2024-06-20
80.0,El Salvador,SLV,1303.65,1305.02,-1,CONCACAF,2024-06-20
103.0,Mozambique,MOZ,1205.82,1184.49,-7,CAF,2024-06-20
54.0,Venezuela,VEN,1442.29,1442.29,0,CONMEBOL,2024-06-20
102.0,Tajikistan,TJK,1212.41,1216.76,3,AFC,2024-06-20
101.0,Kyrgyz Republic,KGZ,1213.58,1213.6,1,AFC,2024-06-20
99.0,Trinidad and Tobago,TRI,1219.44,1220.65,1,CONCACAF,2024-06-20
98.0,Belarus,BLR,1219.78,1226.54,2,UEFA,2024-06-20
97.0,Namibia,NAM,1219.83,1192.13,-9,CAF,2024-06-20
96.0,Armenia,ARM,1230.79,1229.18,1,UEFA,2024-06-20
95.0,Palestine,PLE,1231.25,1238.66,2,AFC,2024-06-20
94.0,Uganda,UGA,1242.96,1242.15,2,CAF,2024-06-20
93.0,Syria,SYR,1246.68,1266.52,4,AFC,2024-06-20
92.0,Angola,ANG,1248.94,1235.76,-2,CAF,2024-06-20
91.0,Benin,BEN,1254.18,1225.68,-6,CAF,2024-06-20
90.0,Zambia,ZAM,1258.4,1278.26,4,CAF,2024-06-20
89.0,Equatorial Guinea,EQG,1260.5,1308.03,10,CAF,2024-06-20
88.0,China PR,CHN,1267.51,1275.22,0,AFC,2024-06-20
87.0,Curacao,CUW,1272.71,1262.48,-4,CONCACAF,2024-06-20
86.0,Haiti,HAI,1274.46,1262.5,-4,CONCACAF,2024-06-20
85.0,Luxembourg,LUX,1276.73,1277.94,-2,UEFA,2024-06-20
84.0,Bolivia,BOL,1282.43,1283.88,-1,CONMEBOL,2024-06-20
83.0,Gabon,GAB,1288.45,1287.33,-1,CAF,2024-06-20
82.0,Bulgaria,BUL,1295.5,1292.59,-1,UEFA,2024-06-20
81.0,Bahrain,BHR,1302.86,1307.53,1,AFC,2024-06-20
79.0,Israel,ISR,1312.54,1311.39,1,UEFA,2024-06-20
53.0,Jamaica,JAM,1442.82,1435.33,-2,CONCACAF,2024-06-20
6.0,Portugal,POR,1747.04,1748.11,0,UEFA,2024-06-20
51.0,Greece,GRE,1455.95,1457.89,1,UEFA,2024-06-20
23.0,Australia,AUS,1571.29,1563.93,-1,AFC,2024-06-20
22.0,Korea Republic,KOR,1572.87,1563.99,-1,AFC,2024-06-20
21.0,Denmark,DEN,1610.76,1602.72,0,UEFA,2024-06-20
20.0,IR Iran,IRN,1611.16,1613.96,0,AFC,2024-06-20
19.0,Switzerland,SUI,1617.24,1616.41,0,UEFA,2024-06-20
18.0,Senegal,SEN,1623.34,1624.73,1,CAF,2024-06-20
17.0,Japan,JPN,1628.81,1621.88,-1,AFC,2024-06-20
16.0,Germany,GER,1646.78,1644.21,0,UEFA,2024-06-20
15.0,Mexico,MEX,1652.33,1661.11,1,CONCACAF,2024-06-20
14.0,Uruguay,URU,1663.44,1659.39,-1,CONMEBOL,2024-06-20
24.0,Ukraine,UKR,1565.37,1568.86,2,UEFA,2024-06-20
12.0,Colombia,COL,1669.44,1664.28,0,CONMEBOL,2024-06-20
11.0,USA,USA,1676.52,1681.13,0,CONCACAF,2024-06-20
10.0,Italy,ITA,1724.37,1724.6,1,UEFA,2024-06-20
9.0,Croatia,CRO,1728.3,1721.07,-1,UEFA,2024-06-20
8.0,Spain,ESP,1729.92,1727.5,0,UEFA,2024-06-20
7.0,Netherlands,NED,1746.66,1742.29,0,UEFA,2024-06-20
5.0,England,ENG,1787.88,1794.9,1,UEFA,2024-06-20
